run_timestamp_utc,model,prompt_len,variant,replace_ln,status,error_type,error_message,canonical_num_hidden_layers,num_hidden_layers,hidden_size,intermediate_size,parameter_count,parameter_count_with_lm_head,estimated_runtime_memory_gib,warmup,repeat,ttft_ms,prefill_tflops_s,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count,monitor_csv
2026-04-14T17:55:27.952586Z,7B,512,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,36.9354628957808,183.26204486987,400.28111111111116,407.05,1399.1666666666667,1410,36,monitor/7B_prompt512_baseline.csv
2026-04-14T17:55:28.565370Z,7B,512,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,35.42146980762482,191.09507581864756,298.7471428571428,314.01,1410.0,1410,35,monitor/7B_prompt512_replace_ln.csv
2026-04-14T17:55:29.144686Z,7B,1024,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,75.299081671983,183.4366969321931,391.5848648648649,403.12,1410.0,1410,74,monitor/7B_prompt1024_baseline.csv
2026-04-14T17:55:30.326409Z,7B,1024,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,72.99755234271288,189.22024616781374,273.8840277777778,315.73,1410.0,1410,72,monitor/7B_prompt1024_replace_ln.csv
2026-04-14T17:55:31.472871Z,7B,2048,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,134.9562673829496,212.8448113798166,398.3412030075188,409.53,1358.6842105263158,1365,133,monitor/7B_prompt2048_baseline.csv
2026-04-14T17:55:33.543937Z,7B,2048,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,125.83597358316185,228.2712999924822,303.8407258064516,380.16,1410.0,1410,124,monitor/7B_prompt2048_replace_ln.csv
2026-04-14T17:55:35.464733Z,7B,4096,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,261.38059897348285,236.61866758777475,399.4377821011673,410.22,1332.1984435797665,1335,257,monitor/7B_prompt4096_baseline.csv
2026-04-14T17:55:39.581867Z,7B,4096,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,239.45056926459074,258.289338180938,314.3528510638298,425.82,1404.8936170212767,1410,235,monitor/7B_prompt4096_replace_ln.csv
2026-04-14T17:55:43.237202Z,7B,8192,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,562.9281869158149,250.98626690431703,397.07155234657034,415.12,1321.9223826714801,1335,554,monitor/7B_prompt8192_baseline.csv
2026-04-14T17:55:51.729052Z,7B,8192,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,514.7215100005269,274.49259730581565,316.34496047430827,440.03,1402.7667984189723,1410,506,monitor/7B_prompt8192_replace_ln.csv
