unit_index,cuda_start_ms,cuda_end_ms,cuda_duration_ms,monitor_start_s,monitor_end_s,tflops_s
57,2360.42333984375,2397.98876953125,37.5654411315918,4.361998571395874,4.399564001083374,234.15385943147245
58,2397.992919921875,2435.5625,37.56953430175781,4.399568151473999,4.437137731552124,234.12834855917941
59,2435.566650390625,2473.141357421875,37.57465744018555,4.437141881942749,4.474716588973999,234.09642619391408
60,2473.145263671875,2510.7138671875,37.568511962890625,4.474720495223999,4.512289098739624,234.13471981260778
61,2510.717041015625,2548.286376953125,37.56953430175781,4.512292272567749,4.54986160850525,234.12834855917941
62,2548.28955078125,2585.86328125,37.573631286621094,4.549864782333374,4.587438512802124,234.1028194775531
63,2585.8671875,2623.43896484375,37.57158279418945,4.587442419052124,4.625014196395874,234.115583322413
64,2623.44287109375,2661.013427734375,37.570560455322266,4.625018102645874,4.662588659286499,234.12195388109893
65,2661.0166015625,2698.585205078125,37.568511962890625,4.662591833114623,4.700160436630249,234.13471981260778
66,2698.588134765625,2736.160888671875,37.572608947753906,4.700163366317749,4.737736120224,234.10918934161032
67,2736.164794921875,2773.734375,37.56953430175781,4.737740026473999,4.775309606552124,234.12834855917941
68,2773.738525390625,2811.31005859375,37.57158279418945,4.775313756942749,4.812885290145874,234.115583322413
69,2811.315185546875,2848.884765625,37.56953430175781,4.812890417098999,4.850459997177124,234.12834855917941
70,2848.8876953125,2886.457275390625,37.56953430175781,4.850462926864624,4.888032506942749,234.12834855917941
71,2886.46142578125,2924.0361328125,37.57465744018555,4.888036657333374,4.925611364364624,234.09642619391408
72,2924.040283203125,2961.609619140625,37.56953430175781,4.925615514755249,4.963184850692749,234.12834855917941
73,2961.61376953125,2999.183349609375,37.56953430175781,4.963189001083374,5.000758581161499,234.12834855917941
74,2999.1875,3036.760986328125,37.573631286621094,5.000762731552124,5.038336217880249,234.1028194775531
75,3036.76513671875,3074.33056640625,37.5654411315918,5.038340368270874,5.075905797958374,234.15385943147245
76,3074.333740234375,3111.90625,37.572608947753906,5.0759089717864985,5.113481481552125,234.10918934161032
77,3111.909423828125,3149.47998046875,37.570560455322266,5.113484655380249,5.151055212020874,234.12195388109893
78,3149.484130859375,3187.0576171875,37.573631286621094,5.151059362411499,5.1886328487396245,234.1028194775531
79,3187.061767578125,3224.627197265625,37.5654411315918,5.1886369991302494,5.226202428817749,234.15385943147245
80,3224.63134765625,3262.19970703125,37.568511962890625,5.226206579208374,5.263774938583374,234.13471981260778
81,3262.203857421875,3299.7724609375,37.568511962890625,5.263779088973999,5.301347692489625,234.13471981260778
82,3299.776611328125,3337.35009765625,37.573631286621094,5.3013518428802495,5.338925329208374,234.1028194775531
83,3337.354248046875,3374.92578125,37.57158279418945,5.338929479598999,5.376501012802124,234.115583322413
84,3374.929931640625,3412.49853515625,37.568511962890625,5.376505163192749,5.414073766708373,234.13471981260778
85,3412.50244140625,3450.070068359375,37.56748962402344,5.414077672958374,5.451645299911499,234.141091412803
86,3450.07421875,3487.6435546875,37.56953430175781,5.451649450302124,5.489218786239624,234.12834855917941
87,3487.647705078125,3525.224365234375,37.57670211791992,5.489222936630249,5.526799596786499,234.08368820139856
88,3525.228515625,3562.797119140625,37.568511962890625,5.526803747177124,5.564372350692749,234.13471981260778
89,3562.800048828125,3600.37060546875,37.570560455322266,5.564375280380249,5.601945837020875,234.12195388109893
90,3600.374755859375,3637.947509765625,37.572608947753906,5.6019499874114995,5.639522741317749,234.10918934161032
91,3637.951416015625,3675.52001953125,37.568511962890625,5.639526647567749,5.677095251083374,234.13471981260778
92,3675.524169921875,3713.09765625,37.573631286621094,5.677099401473999,5.714672887802124,234.1028194775531
93,3713.100830078125,3750.67236328125,37.57158279418945,5.714676061630249,5.752247594833374,234.115583322413
94,3750.675537109375,3788.2490234375,37.573631286621094,5.752250768661499,5.7898242549896235,234.1028194775531
95,3788.253173828125,3825.820556640625,37.56748962402344,5.7898284053802485,5.827395788192749,234.141091412803
96,3825.82470703125,3863.393310546875,37.568511962890625,5.827399938583374,5.864968542099,234.13471981260778
97,3863.396240234375,3900.9658203125,37.56953430175781,5.8649714717864985,5.902541051864624,234.12834855917941
98,3900.969970703125,3938.548828125,37.57875061035156,5.902545202255249,5.9401240596771245,234.07092783401373
99,3938.552734375,3976.120361328125,37.56748962402344,5.9401279659271236,5.977695592880249,234.141091412803
100,3976.12451171875,4013.697021484375,37.572608947753906,5.977699743270874,6.015272253036499,234.10918934161032
101,4013.701171875,4051.272705078125,37.57158279418945,6.015276403427124,6.052847936630249,234.115583322413
102,4051.27685546875,4088.850341796875,37.573631286621094,6.052852087020874,6.090425573348999,234.1028194775531
103,4088.853515625,4126.42626953125,37.572608947753906,6.090428747177124,6.128001501083374,234.10918934161032
104,4126.42919921875,4164.0009765625,37.57158279418945,6.128004430770874,6.165576208114624,234.115583322413
105,4164.0048828125,4201.5732421875,37.568511962890625,6.165580114364624,6.203148473739624,234.13471981260778
106,4201.57763671875,4239.14892578125,37.57158279418945,6.203152868270874,6.240724157333374,234.115583322413
107,4239.15234375,4276.72802734375,37.575679779052734,6.240727575302124,6.278303258895874,234.0900570243721
108,4276.73095703125,4314.3056640625,37.57465744018555,6.278306188583374,6.315880895614624,234.09642619391408
109,4314.30859375,4351.88037109375,37.57158279418945,6.315883825302124,6.353455602645874,234.115583322413
110,4351.88427734375,4389.45361328125,37.56953430175781,6.353459508895874,6.391028844833374,234.12834855917941
111,4389.45703125,4427.0234375,37.566463470458984,6.391032262802124,6.428598669052124,234.14748713636445
112,4427.02734375,4464.59716796875,37.56953430175781,6.428602575302124,6.466172399520874,234.12834855917941
113,4464.60107421875,4502.17041015625,37.56953430175781,6.466176305770874,6.503745641708374,234.12834855917941
114,4502.173828125,4539.7412109375,37.56748962402344,6.503749059677124,6.541316442489624,234.141091412803
115,4539.7451171875,4577.31689453125,37.57158279418945,6.541320348739624,6.578892126083374,234.115583322413
116,4577.32080078125,4614.892578125,37.57158279418945,6.578896032333374,6.616467809677124,234.115583322413
117,4614.896484375,4652.462890625,37.566463470458984,6.6164717159271245,6.654038122177124,234.14748713636445
118,4652.46728515625,4690.03466796875,37.56748962402344,6.654042516708374,6.691609899520874,234.141091412803
119,4690.03759765625,4727.6083984375,37.570560455322266,6.691612829208374,6.729183629989624,234.12195388109893
120,4727.6123046875,4765.18212890625,37.56953430175781,6.729187536239624,6.766757360458374,234.12834855917941
121,4765.18603515625,4802.7578125,37.57158279418945,6.766761266708374,6.804333044052124,234.115583322413
122,4802.7607421875,4840.330078125,37.56953430175781,6.804335973739624,6.841905309677124,234.12834855917941
123,4840.33349609375,4877.90380859375,37.570560455322266,6.841908727645874,6.879479040145874,234.12195388109893
124,4877.908203125,4915.482421875,37.57465744018555,6.879483434677124,6.917057653427124,234.09642619391408
125,4915.48681640625,4953.05615234375,37.56953430175781,6.917062047958374,6.954631383895874,234.12834855917941
