unit_index,cuda_start_ms,cuda_end_ms,cuda_duration_ms,monitor_start_s,monitor_end_s,tflops_s
57,2056.868896484375,2086.541259765625,29.672447204589844,4.058233604431152,4.087905967712402,296.43975643665107
58,2086.54443359375,2116.221923828125,29.677568435668945,4.0879091415405275,4.117586631774902,296.38860209437274
59,2116.22509765625,2145.8984375,29.673471450805664,4.117589805603028,4.147263145446777,296.4295241556302
60,2145.901611328125,2175.574951171875,29.673471450805664,4.147266319274902,4.176939659118652,296.4295241556302
61,2175.5791015625,2205.25146484375,29.672447204589844,4.176943809509277,4.206616172790527,296.43975643665107
62,2205.254638671875,2234.935302734375,29.680639266967773,4.206619346618652,4.236300010681152,296.357937007016
63,2234.9384765625,2264.61376953125,29.675519943237305,4.236303184509278,4.265978477478027,296.4090617125825
64,2264.616943359375,2294.295654296875,29.678592681884766,4.265981651306152,4.295660362243652,296.37837334439934
65,2294.298583984375,2323.97119140625,29.672447204589844,4.295663291931152,4.3253358993530275,296.43975643665107
66,2323.97509765625,2353.648681640625,29.673471450805664,4.325339805603027,4.355013389587402,296.4295241556302
67,2353.651611328125,2383.328369140625,29.676544189453125,4.3550163192749025,4.384693077087402,296.3988315504095
68,2383.332275390625,2413.003662109375,29.671424865722656,4.3846969833374025,4.4143683700561525,296.4499703676016
69,2413.0078125,2442.67822265625,29.670400619506836,4.414372520446777,4.444042930603027,296.46020406023774
70,2442.682373046875,2472.35791015625,29.675519943237305,4.444047080993652,4.473722618103027,296.4090617125825
71,2472.36083984375,2502.026123046875,29.665279388427734,4.473725547790528,4.503390830993652,296.511383123508
72,2502.029296875,2531.70068359375,29.671424865722656,4.503394004821777,4.533065391540527,296.4499703676016
73,2531.703857421875,2561.375244140625,29.671424865722656,4.533068565368652,4.562739952087402,296.4499703676016
74,2561.37841796875,2591.05078125,29.672447204589844,4.562743125915528,4.592415489196777,296.43975643665107
75,2591.054931640625,2620.727294921875,29.672447204589844,4.592419639587402,4.622092002868652,296.43975643665107
76,2620.73046875,2650.410888671875,29.680639266967773,4.622095176696778,4.651775596618652,296.357937007016
77,2650.4140625,2680.09375,29.679616928100586,4.651778770446777,4.6814584579467775,296.368145300416
78,2680.097900390625,2709.7783203125,29.680639266967773,4.6814626083374025,4.711143028259277,296.357937007016
79,2709.781494140625,2739.455078125,29.673471450805664,4.711146202087402,4.740819786071778,296.4295241556302
80,2739.458984375,2769.12841796875,29.669376373291016,4.7408236923217775,4.770493125915527,296.47043845944887
81,2769.131591796875,2798.805908203125,29.674495697021484,4.770496299743652,4.800170616149902,296.4192925809651
82,2798.80908203125,2828.48876953125,29.679616928100586,4.800173789978027,4.829853477478027,296.368145300416
83,2828.49169921875,2858.17333984375,29.681663513183594,4.829856407165527,4.859538047790528,296.3477103734793
84,2858.176513671875,2887.858154296875,29.681663513183594,4.859541221618652,4.889222862243653,296.3477103734793
