Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
12646734736,18739326,11807,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12665475278,3040,11816,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12665479566,18823166,11820,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12684318828,18737790,11856,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12703057866,3040,11865,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12703062186,18821790,11869,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12721900008,18737919,11905,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12740639463,3040,11914,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12740643911,18816574,11918,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12759475493,18739390,11954,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12778216163,3040,11963,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12778221411,18816190,11967,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12797053473,18738910,12003,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12815793695,3040,12012,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12815797983,18821982,12016,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
