gemm_steps,norm_steps,gemm_ms,norm_ms,gemm_norm_time_ratio,clock_mhz,gemm_tflops_s
48,128,1420.8568678635818,51.037623269217356,27.83940114861407,1410.0,297.1534111671839
64,128,1894.4213989257812,51.03308764371005,37.12143408119405,1410.0,297.16194809693815
1,512,30.022053707347197,204.11134176815258,0.14708665107619967,1404.1764705882354,292.98771856021835
2,512,62.80540693128431,204.0968398030599,0.30772356393115846,1393.7403474903474,280.10623454225356
4,512,129.6597649525788,204.09282608032225,0.6352980035738749,1346.6558018252933,271.35921541813826
8,512,261.70804268973217,204.07950822697129,1.2823827583838947,1302.326923076923,268.8826199395394
12,512,395.11915079752606,204.09533646527458,1.9359538421631346,1281.7636946386947,267.14249626585524
16,512,526.8345336914062,204.0797244480678,2.5815133527655756,1280.5029430736977,267.13793298479004
20,512,592.5380981445312,204.1910479736328,2.9018808807967216,1410.0,296.8954418206023
22,512,651.944871985394,204.18798828125,3.192865934343799,1410.0,296.82578206230824
24,512,710.9173177083334,204.19518904252485,3.4815576265133292,1410.0,296.9490646443953
32,512,948.2125495461856,204.1890131632487,4.643798091075996,1410.0,296.8479765906598
48,512,1421.0117797851562,204.20214022122897,6.95884861072297,1410.0,297.1210169206469
64,512,1894.4045545789932,204.1924591064453,9.277544150596874,1410.0,297.1645903514101
