elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
3.261,401.54,1275,1215,45
3.271,401.54,1275,1215,45
3.281,401.54,1275,1215,45
3.291,401.54,1275,1215,45
3.301,401.54,1275,1215,45
3.312,401.54,1275,1215,45
3.322,401.54,1275,1215,45
3.332,401.54,1275,1215,45
3.342,401.54,1275,1215,45
3.352,401.54,1275,1215,45
3.362,401.54,1275,1215,45
3.373,401.54,1275,1215,45
3.383,401.54,1275,1215,45
3.393,397.18,1245,1215,46
3.403,397.18,1245,1215,46
3.413,397.18,1245,1215,46
3.424,397.18,1245,1215,46
3.434,397.18,1245,1215,46
3.444,397.18,1245,1215,46
3.454,397.18,1245,1215,46
3.464,397.18,1245,1215,46
3.475,397.18,1245,1215,46
3.485,397.18,1260,1215,46
3.495,376.91,1260,1215,46
3.505,376.91,1260,1215,46
3.515,376.91,1260,1215,46
3.526,376.91,1260,1215,46
3.536,376.91,1260,1215,46
3.546,376.91,1260,1215,46
3.556,376.91,1260,1215,46
3.566,376.91,1260,1215,46
3.576,376.91,1260,1215,46
3.587,392.81,1275,1215,46
3.597,392.81,1275,1215,46
3.607,392.81,1275,1215,46
3.617,392.81,1275,1215,46
3.627,392.81,1275,1215,46
3.638,392.81,1275,1215,46
3.648,392.81,1275,1215,46
3.658,392.81,1275,1215,46
3.668,392.81,1275,1215,46
3.678,392.81,1275,1215,46
3.688,398.37,1275,1215,47
3.699,398.37,1275,1215,47
3.709,398.37,1275,1215,47
3.719,398.37,1275,1215,47
3.729,398.37,1275,1215,47
3.739,398.37,1275,1215,47
3.75,398.37,1275,1215,47
3.76,398.37,1275,1215,47
3.77,398.37,1275,1215,47
3.78,398.37,1275,1215,47
3.79,412.27,1260,1215,47
3.8,412.27,1260,1215,47
3.811,412.27,1260,1215,47
3.821,412.27,1260,1215,47
3.831,412.27,1260,1215,47
3.841,412.27,1260,1215,47
3.851,412.27,1260,1215,47
3.862,412.27,1260,1215,47
3.872,412.27,1260,1215,47
3.882,412.27,1260,1215,47
3.892,384.13,1380,1215,45
3.902,384.13,1380,1215,45
3.913,384.13,1380,1215,45
3.923,384.13,1380,1215,45
3.933,384.13,1380,1215,45
3.943,384.13,1380,1215,45
3.953,384.13,1380,1215,45
3.963,384.13,1380,1215,45
3.974,384.13,1380,1215,45
3.984,384.13,1380,1215,45
3.994,345.33,1410,1215,45
4.004,345.33,1410,1215,45
4.014,345.33,1410,1215,45
4.025,345.33,1410,1215,45
4.035,345.33,1410,1215,45
4.045,345.33,1410,1215,45
4.055,345.33,1410,1215,45
4.065,345.33,1410,1215,45
4.076,345.33,1410,1215,45
4.086,345.33,1410,1215,45
4.096,362.14,1410,1215,45
4.106,362.14,1410,1215,45
4.116,362.14,1410,1215,45
4.126,362.14,1410,1215,45
4.137,362.14,1410,1215,45
4.147,362.14,1410,1215,45
4.157,362.14,1410,1215,45
4.167,362.14,1410,1215,45
4.177,362.14,1410,1215,45
4.188,364.14,1410,1215,45
4.198,364.14,1410,1215,45
4.208,364.14,1410,1215,45
4.218,364.14,1410,1215,45
4.228,364.14,1410,1215,45
4.239,364.14,1410,1215,45
4.249,364.14,1410,1215,45
4.259,364.14,1410,1215,45
4.269,364.14,1410,1215,45
4.279,364.14,1410,1215,45
4.289,363.28,1410,1215,46
4.3,363.28,1410,1215,46
4.31,363.28,1410,1215,46
4.32,363.28,1410,1215,46
4.33,363.28,1410,1215,46
4.34,363.28,1410,1215,46
4.351,363.28,1410,1215,46
4.361,363.28,1410,1215,46
4.371,363.28,1410,1215,46
4.381,363.28,1410,1215,46
4.391,363.28,1410,1215,46
4.401,363.28,1410,1215,46
4.412,363.28,1410,1215,46
4.422,363.28,1410,1215,46
4.432,363.28,1410,1215,46
4.442,363.28,1410,1215,46
4.452,363.28,1410,1215,46
4.463,363.28,1410,1215,46
4.473,363.28,1410,1215,46
4.483,363.28,1410,1215,46
4.493,363.28,1410,1215,46
4.504,363.28,1410,1215,46
4.514,363.28,1410,1215,46
4.524,363.28,1410,1215,46
4.534,363.28,1410,1215,46
4.544,363.28,1410,1215,46
4.554,363.28,1410,1215,46
4.565,363.28,1410,1215,46
4.575,363.28,1410,1215,46
4.585,363.28,1410,1215,46
4.595,363.28,1410,1215,46
4.605,363.28,1410,1215,46
4.616,363.28,1410,1215,46
4.626,363.28,1410,1215,46
4.636,363.28,1410,1215,46
4.646,363.28,1410,1215,46
4.656,363.28,1410,1215,46
4.666,363.28,1410,1215,46
4.677,363.28,1410,1215,46
4.687,363.28,1410,1215,46
4.697,365.0,1410,1215,46
4.707,365.0,1410,1215,46
4.717,365.0,1410,1215,46
4.728,365.0,1410,1215,46
4.738,365.0,1410,1215,46
4.748,365.0,1410,1215,46
4.758,365.0,1410,1215,46
4.768,365.0,1410,1215,46
4.779,365.0,1410,1215,46
4.789,365.0,1410,1215,46
4.799,364.46,1410,1215,46
4.809,364.46,1410,1215,46
4.819,364.46,1410,1215,46
4.83,364.46,1410,1215,46
4.84,364.46,1410,1215,46
4.85,364.46,1410,1215,46
4.86,364.46,1410,1215,46
4.87,364.46,1410,1215,46
4.88,364.46,1410,1215,46
4.891,364.46,1410,1215,46
4.901,365.0,1410,1215,46
4.911,365.0,1410,1215,46
4.921,365.0,1410,1215,46
4.931,365.0,1410,1215,46
4.942,365.0,1410,1215,46
4.952,365.0,1410,1215,46
4.962,365.0,1410,1215,46
4.972,365.0,1410,1215,46
4.982,365.0,1410,1215,46
4.992,365.0,1410,1215,46
5.003,364.14,1410,1215,46
5.013,364.14,1410,1215,46
5.023,364.14,1410,1215,46
5.033,364.14,1410,1215,46
5.043,364.14,1410,1215,46
5.054,364.14,1410,1215,46
5.064,364.14,1410,1215,46
5.074,364.14,1410,1215,46
5.084,364.14,1410,1215,46
5.094,364.14,1410,1215,46
5.104,363.28,1410,1215,46
5.115,363.28,1410,1215,46
5.125,363.28,1410,1215,46
5.135,363.28,1410,1215,46
5.145,363.28,1410,1215,46
5.155,363.28,1410,1215,46
5.166,363.28,1410,1215,46
5.176,363.28,1410,1215,46
5.186,363.28,1410,1215,46
5.196,366.19,1410,1215,46
5.206,366.19,1410,1215,46
5.217,366.19,1410,1215,46
5.227,366.19,1410,1215,46
5.237,366.19,1410,1215,46
5.247,366.19,1410,1215,46
5.257,366.19,1410,1215,46
5.267,366.19,1410,1215,46
5.278,366.19,1410,1215,46
5.288,366.19,1410,1215,46
5.298,363.87,1410,1215,47
5.308,363.87,1410,1215,47
5.318,363.87,1410,1215,47
5.329,363.87,1410,1215,47
5.339,363.87,1410,1215,47
5.349,363.87,1410,1215,47
5.359,363.87,1410,1215,47
5.369,363.87,1410,1215,47
5.379,363.87,1410,1215,47
5.39,363.87,1410,1215,47
5.4,363.87,1410,1215,47
5.41,363.87,1410,1215,47
5.42,363.87,1410,1215,47
5.43,363.87,1410,1215,47
5.441,363.87,1410,1215,47
5.451,363.87,1410,1215,47
5.461,363.87,1410,1215,47
5.471,363.87,1410,1215,47
5.481,363.87,1410,1215,47
5.492,363.87,1410,1215,47
5.502,364.73,1410,1215,47
5.512,364.73,1410,1215,47
5.522,364.73,1410,1215,47
5.532,364.73,1410,1215,47
5.542,364.73,1410,1215,47
5.553,364.73,1410,1215,47
5.563,364.73,1410,1215,47
5.573,364.73,1410,1215,47
5.583,364.73,1410,1215,47
5.593,364.73,1410,1215,47
5.604,363.87,1410,1215,47
5.614,363.87,1410,1215,47
5.624,363.87,1410,1215,47
5.634,363.87,1410,1215,47
5.644,363.87,1410,1215,47
5.654,363.87,1410,1215,47
5.665,363.87,1410,1215,47
5.675,363.87,1410,1215,47
5.685,363.87,1410,1215,47
5.695,363.87,1410,1215,47
5.705,365.92,1410,1215,47
5.716,365.92,1410,1215,47
5.726,365.92,1410,1215,47
5.736,365.92,1410,1215,47
5.746,365.92,1410,1215,47
5.756,365.92,1410,1215,47
5.767,365.92,1410,1215,47
5.777,365.92,1410,1215,47
5.787,365.92,1410,1215,47
5.797,365.6,1410,1215,47
5.807,365.6,1410,1215,47
5.817,365.6,1410,1215,47
5.828,365.6,1410,1215,47
5.838,365.6,1410,1215,47
5.848,365.6,1410,1215,47
5.858,365.6,1410,1215,47
5.868,365.6,1410,1215,47
5.879,365.6,1410,1215,47
5.889,365.6,1410,1215,47
5.899,365.6,1410,1215,47
5.909,365.6,1410,1215,47
5.919,365.6,1410,1215,47
5.929,365.6,1410,1215,47
5.94,365.6,1410,1215,47
5.95,365.6,1410,1215,47
5.96,365.6,1410,1215,47
5.97,365.6,1410,1215,47
5.98,365.6,1410,1215,47
5.991,365.6,1410,1215,47
6.001,365.92,1410,1215,47
6.011,365.92,1410,1215,47
6.021,365.92,1410,1215,47
6.031,365.92,1410,1215,47
6.042,365.92,1410,1215,47
6.052,365.92,1410,1215,47
6.062,365.92,1410,1215,47
6.072,365.92,1410,1215,47
6.082,365.92,1410,1215,47
6.092,365.92,1410,1215,47
6.103,365.0,1410,1215,47
6.113,365.0,1410,1215,47
6.123,365.0,1410,1215,47
6.133,365.0,1410,1215,47
6.143,365.0,1410,1215,47
6.154,365.0,1410,1215,47
6.164,365.0,1410,1215,47
6.174,365.0,1410,1215,47
6.184,365.0,1410,1215,47
